store,websites,attribute_set,type,category_ids,sku,has_options,name,image,small_image,thumbnail,url_key,url_path,options_container,image_label,small_image_label,thumbnail_label,price,weight,status,visibility,tax_class_id,brand,supplier,mode,description,short_description,special_from_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,meta_title,meta_description,custom_design,page_layout,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,special_price,msrp,is_recurring,meta_keyword,custom_layout_update,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to
en,pdc,Default,simple,8,AGNT23,0,Actifed Cough and Cold Expectorant Syrup 200ML,/c/7/c78a8f517b3674337571c30026ecf28e_1774.png,/c/7/c78a8f517b3674337571c30026ecf28e_1774.png,/c/7/c78a8f517b3674337571c30026ecf28e_1774.png,actifed-cough-and-cold-expectorant-syrup-200ml,actifed-cough-and-cold-expectorant-syrup-200ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,IBN AL BEETAR TRADING,Normal,AGNT_Actifed Cough and Cold Expectorant Syrup 200ML,Actifed Cough and Cold Expectorant Syrup 200ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Actifed Cough and Cold Expectorant Syrup 200ML,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,13,AGNT24,0,Activita Vit C 1G Effervescent Tablet 20S,/c/7/c78a8f517b3674337571c30026ecf28e_1775.png,/c/7/c78a8f517b3674337571c30026ecf28e_1775.png,/c/7/c78a8f517b3674337571c30026ecf28e_1775.png,activita-vit-c-1g-effervescent-tablet-20s,activita-vit-c-1g-effervescent-tablet-20s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Activita ,MODERN PHARMACEUTICAL CO.,Normal,AGNT_Activita Vit C 1G Effervescent Tablet 20S,Activita Vit C 1G Effervescent Tablet 20S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Activita Vit C 1G Effervescent Tablet 20S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT25,0,Actos 15Mg Tablet 30S,/c/7/c78a8f517b3674337571c30026ecf28e_1776.png,/c/7/c78a8f517b3674337571c30026ecf28e_1776.png,/c/7/c78a8f517b3674337571c30026ecf28e_1776.png,actos-15mg-tablet-30s,actos-15mg-tablet-30s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,MODERN PHARMACEUTICAL CO.,Normal,AGNT_Actos 15Mg Tablet 30S,Actos 15Mg Tablet 30S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Actos 15Mg Tablet 30S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT26,0,Actos 30Mg Tablet 30S,/c/7/c78a8f517b3674337571c30026ecf28e_1777.png,/c/7/c78a8f517b3674337571c30026ecf28e_1777.png,/c/7/c78a8f517b3674337571c30026ecf28e_1777.png,actos-30mg-tablet-30s,actos-30mg-tablet-30s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,MODERN PHARMACEUTICAL CO.,Normal,AGNT_Actos 30Mg Tablet 30S,Actos 30Mg Tablet 30S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Actos 30Mg Tablet 30S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT29,0,Adalat LA 30Mg Tablet 30S,/c/7/c78a8f517b3674337571c30026ecf28e_1778.png,/c/7/c78a8f517b3674337571c30026ecf28e_1778.png,/c/7/c78a8f517b3674337571c30026ecf28e_1778.png,adalat-la-30mg-tablet-30s,adalat-la-30mg-tablet-30s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,AL ITTIHAD DRUG STORE,Normal,AGNT_Adalat LA 30Mg Tablet 30S,Adalat LA 30Mg Tablet 30S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adalat LA 30Mg Tablet 30S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT30,0,Adalat LA 60Mg Tablet 30S,/c/7/c78a8f517b3674337571c30026ecf28e_1779.png,/c/7/c78a8f517b3674337571c30026ecf28e_1779.png,/c/7/c78a8f517b3674337571c30026ecf28e_1779.png,adalat-la-60mg-tablet-30s,adalat-la-60mg-tablet-30s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,AL ITTIHAD DRUG STORE,Normal,AGNT_Adalat LA 60Mg Tablet 30S,Adalat LA 60Mg Tablet 30S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adalat LA 60Mg Tablet 30S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT34,0,Adol 120Mg/5Ml Suspension 100ML,/c/7/c78a8f517b3674337571c30026ecf28e_1780.png,/c/7/c78a8f517b3674337571c30026ecf28e_1780.png,/c/7/c78a8f517b3674337571c30026ecf28e_1780.png,adol-120mg-5ml-suspension-100ml,adol-120mg-5ml-suspension-100ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Adol ,JULPHAR DRUG STORE,Normal,AGNT_Adol 120Mg/5Ml Suspension 100ML,Adol 120Mg/5Ml Suspension 100ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adol 120Mg/5Ml Suspension 100ML,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT35,0,Adol 120Mg/5Ml Syrup 100ML,/c/7/c78a8f517b3674337571c30026ecf28e_1781.png,/c/7/c78a8f517b3674337571c30026ecf28e_1781.png,/c/7/c78a8f517b3674337571c30026ecf28e_1781.png,adol-120mg-5ml-syrup-100ml,adol-120mg-5ml-syrup-100ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Adol ,JULPHAR DRUG STORE,Normal,AGNT_Adol 120Mg/5Ml Syrup 100ML,Adol 120Mg/5Ml Syrup 100ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adol 120Mg/5Ml Syrup 100ML,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT36,0,Adol 125Mg Suppository 10S,/c/7/c78a8f517b3674337571c30026ecf28e_1782.png,/c/7/c78a8f517b3674337571c30026ecf28e_1782.png,/c/7/c78a8f517b3674337571c30026ecf28e_1782.png,adol-125mg-suppository-10s,adol-125mg-suppository-10s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Adol ,JULPHAR DRUG STORE,Normal,AGNT_Adol 125Mg Suppository 10S,Adol 125Mg Suppository 10S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adol 125Mg Suppository 10S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT37,0,Adol 250Mg Suppository 10S,/c/7/c78a8f517b3674337571c30026ecf28e_1783.png,/c/7/c78a8f517b3674337571c30026ecf28e_1783.png,/c/7/c78a8f517b3674337571c30026ecf28e_1783.png,adol-250mg-suppository-10s,adol-250mg-suppository-10s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Adol ,JULPHAR DRUG STORE,Normal,AGNT_Adol 250Mg Suppository 10S,Adol 250Mg Suppository 10S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adol 250Mg Suppository 10S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT39,0,Adol 500Mg Tablet 24S,/c/7/c78a8f517b3674337571c30026ecf28e_1784.png,/c/7/c78a8f517b3674337571c30026ecf28e_1784.png,/c/7/c78a8f517b3674337571c30026ecf28e_1784.png,adol-500mg-tablet-24s,adol-500mg-tablet-24s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Adol ,JULPHAR DRUG STORE,Normal,AGNT_Adol 500Mg Tablet 24S,Adol 500Mg Tablet 24S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adol 500Mg Tablet 24S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT40,0,Adol Drops 15ML,/c/7/c78a8f517b3674337571c30026ecf28e_1785.png,/c/7/c78a8f517b3674337571c30026ecf28e_1785.png,/c/7/c78a8f517b3674337571c30026ecf28e_1785.png,adol-drops-15ml,adol-drops-15ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Adol ,JULPHAR DRUG STORE,Normal,AGNT_Adol Drops 15ML,Adol Drops 15ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adol Drops 15ML,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT41,0,Adol Extra Tablet 24S,/c/7/c78a8f517b3674337571c30026ecf28e_1786.png,/c/7/c78a8f517b3674337571c30026ecf28e_1786.png,/c/7/c78a8f517b3674337571c30026ecf28e_1786.png,adol-extra-tablet-24s,adol-extra-tablet-24s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Adol ,JULPHAR DRUG STORE,Normal,AGNT_Adol Extra Tablet 24S,Adol Extra Tablet 24S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adol Extra Tablet 24S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT42,0,Adol Pm Tablet 24S,/c/7/c78a8f517b3674337571c30026ecf28e_1787.png,/c/7/c78a8f517b3674337571c30026ecf28e_1787.png,/c/7/c78a8f517b3674337571c30026ecf28e_1787.png,adol-pm-tablet-24s,adol-pm-tablet-24s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Adol ,JULPHAR DRUG STORE,Normal,AGNT_Adol Pm Tablet 24S,Adol Pm Tablet 24S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Adol Pm Tablet 24S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT43,0,Advantan Cream 20GM,/c/7/c78a8f517b3674337571c30026ecf28e_1788.png,/c/7/c78a8f517b3674337571c30026ecf28e_1788.png,/c/7/c78a8f517b3674337571c30026ecf28e_1788.png,advantan-cream-20gm,advantan-cream-20gm.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,PHARMA WORLD,Normal,AGNT_Advantan Cream 20GM,Advantan Cream 20GM,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Advantan Cream 20GM,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT45,0,Advil 200Mg Tablet 50S,/c/7/c78a8f517b3674337571c30026ecf28e_1789.png,/c/7/c78a8f517b3674337571c30026ecf28e_1789.png,/c/7/c78a8f517b3674337571c30026ecf28e_1789.png,advil-200mg-tablet-50s,advil-200mg-tablet-50s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,PHARMA TRADE,Normal,AGNT_Advil 200Mg Tablet 50S,Advil 200Mg Tablet 50S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Advil 200Mg Tablet 50S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT46,0,Advil Child 100Mg/5Ml Suspension 100ML,/c/7/c78a8f517b3674337571c30026ecf28e_1790.png,/c/7/c78a8f517b3674337571c30026ecf28e_1790.png,/c/7/c78a8f517b3674337571c30026ecf28e_1790.png,advil-child-100mg-5ml-suspension-100ml,advil-child-100mg-5ml-suspension-100ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,PHARMA TRADE,Normal,AGNT_Advil Child 100Mg/5Ml Suspension 100ML,Advil Child 100Mg/5Ml Suspension 100ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Advil Child 100Mg/5Ml Suspension 100ML,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT48,0,Advil Liquid Gels 200Mg 32S,/c/7/c78a8f517b3674337571c30026ecf28e_1791.png,/c/7/c78a8f517b3674337571c30026ecf28e_1791.png,/c/7/c78a8f517b3674337571c30026ecf28e_1791.png,advil-liquid-gels-200mg-32s,advil-liquid-gels-200mg-32s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,PHARMA TRADE,Normal,AGNT_Advil Liquid Gels 200Mg 32S,Advil Liquid Gels 200Mg 32S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Advil Liquid Gels 200Mg 32S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT49,0,Aerius 5Mg Tablet 30S,/c/7/c78a8f517b3674337571c30026ecf28e_1792.png,/c/7/c78a8f517b3674337571c30026ecf28e_1792.png,/c/7/c78a8f517b3674337571c30026ecf28e_1792.png,aerius-5mg-tablet-30s,aerius-5mg-tablet-30s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,CITY PHARMACY,Normal,AGNT_Aerius 5Mg Tablet 30S,Aerius 5Mg Tablet 30S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Aerius 5Mg Tablet 30S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT50,0,Aerius Syrup 150ML,/c/7/c78a8f517b3674337571c30026ecf28e_1793.png,/c/7/c78a8f517b3674337571c30026ecf28e_1793.png,/c/7/c78a8f517b3674337571c30026ecf28e_1793.png,aerius-syrup-150ml,aerius-syrup-150ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,CITY PHARMACY,Normal,AGNT_Aerius Syrup 150ML,Aerius Syrup 150ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Aerius Syrup 150ML,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT51,0,Agiolax Granules 250GM,/c/7/c78a8f517b3674337571c30026ecf28e_1794.png,/c/7/c78a8f517b3674337571c30026ecf28e_1794.png,/c/7/c78a8f517b3674337571c30026ecf28e_1794.png,agiolax-granules-250gm,agiolax-granules-250gm.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,PHARMA TRADE,Normal,AGNT_Agiolax Granules 250GM,Agiolax Granules 250GM,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Agiolax Granules 250GM,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT52,0,Albenda 400Mg/20Ml Suspension 20ML,/c/7/c78a8f517b3674337571c30026ecf28e_1795.png,/c/7/c78a8f517b3674337571c30026ecf28e_1795.png,/c/7/c78a8f517b3674337571c30026ecf28e_1795.png,albenda-400mg-20ml-suspension-20ml,albenda-400mg-20ml-suspension-20ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,JULPHAR DRUG STORE,Normal,AGNT_Albenda 400Mg/20Ml Suspension 20ML,Albenda 400Mg/20Ml Suspension 20ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Albenda 400Mg/20Ml Suspension 20ML,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT55,0,Aldactone 100Mg Tablet 10S,/c/7/c78a8f517b3674337571c30026ecf28e_1796.png,/c/7/c78a8f517b3674337571c30026ecf28e_1796.png,/c/7/c78a8f517b3674337571c30026ecf28e_1796.png,aldactone-100mg-tablet-10s,aldactone-100mg-tablet-10s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,IBN AL BEETAR TRADING,Normal,AGNT_Aldactone 100Mg Tablet 10S,Aldactone 100Mg Tablet 10S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Aldactone 100Mg Tablet 10S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT59,0,Alfacort Ointment 15GM,/c/7/c78a8f517b3674337571c30026ecf28e_1797.png,/c/7/c78a8f517b3674337571c30026ecf28e_1797.png,/c/7/c78a8f517b3674337571c30026ecf28e_1797.png,alfacort-ointment-15gm,alfacort-ointment-15gm.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,JULPHAR DRUG STORE,Normal,AGNT_Alfacort Ointment 15GM,Alfacort Ointment 15GM,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Alfacort Ointment 15GM,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,8,AGNT60,0,Alka UR 4Gm Sachet 10S,/c/7/c78a8f517b3674337571c30026ecf28e_1798.png,/c/7/c78a8f517b3674337571c30026ecf28e_1798.png,/c/7/c78a8f517b3674337571c30026ecf28e_1798.png,alka-ur-4gm-sachet-10s,alka-ur-4gm-sachet-10s.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,MEDICINES,MUSCAT PHARMACEUTICALS,Normal,AGNT_Alka UR 4Gm Sachet 10S,Alka UR 4Gm Sachet 10S,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Alka UR 4Gm Sachet 10S,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,11,AGNT63,0,Aloe Pura Aloe Vera After Sun Lotion 200ML,/c/7/c78a8f517b3674337571c30026ecf28e_1799.png,/c/7/c78a8f517b3674337571c30026ecf28e_1799.png,/c/7/c78a8f517b3674337571c30026ecf28e_1799.png,aloe-pura-aloe-vera-after-sun-lotion-200ml,aloe-pura-aloe-vera-after-sun-lotion-200ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Aloe ,PHARMA PLUS DRUG STORE LLC,Normal,AGNT_Aloe Pura Aloe Vera After Sun Lotion 200ML,Aloe Pura Aloe Vera After Sun Lotion 200ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Aloe Pura Aloe Vera After Sun Lotion 200ML,2,simple,,,,,,,,,,,,,,,,,,,,
en,pdc,Default,simple,4,AGNT65,0,Aloedent Breath Freshner 30ML,/c/7/c78a8f517b3674337571c30026ecf28e_1800.png,/c/7/c78a8f517b3674337571c30026ecf28e_1800.png,/c/7/c78a8f517b3674337571c30026ecf28e_1800.png,aloedent-breath-freshner-30ml,aloedent-breath-freshner-30ml.html,Product Info Column,,,,1,1,Enabled,"Catalog, Search",Shipping,Aloedent ,PHARMA PLUS DRUG STORE LLC,Normal,AGNT_Aloedent Breath Freshner 30ML,Aloedent Breath Freshner 30ML,,100000,0,1,0,0,1,1,0,0,1,1,,,1,1,0,0,1,0,1,0,0,0,1,Aloedent Breath Freshner 30ML,2,simple,,,,,,,,,,,,,,,,,,,,
