"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","url_path","options_container","price","weight","status","visibility","tax_class_id","brand","supplier","mode","description","short_description","special_from_date","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","meta_title","meta_description","image","small_image","thumbnail","custom_design","page_layout","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","special_price","msrp","is_recurring","meta_keyword","custom_layout_update","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to"
"admin","pdc","Default","simple","8","380","0","CARDURA 4MG TAB 20S","cardura-4mg-tab-20s","cardura-4mg-tab-20s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","CARDURA 4MG TAB 20S","CARDURA 4MG TAB 20S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","CARDURA 4MG TAB 20S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","496","0","CUTIVATE CREAM 30GM","cutivate-cream-30gm","cutivate-cream-30gm.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","CUTIVATE CREAM 30GM","CUTIVATE CREAM 30GM","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","CUTIVATE CREAM 30GM","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","497","0","CUTIVATE OINT 15GM","cutivate-oint-15gm","cutivate-oint-15gm.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","CUTIVATE OINT 15GM","CUTIVATE OINT 15GM","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","CUTIVATE OINT 15GM","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","616","0","EBASTEL 20MG TAB 30S","ebastel-20mg-tab-30s","ebastel-20mg-tab-30s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","EBASTEL 20MG TAB 30S","EBASTEL 20MG TAB 30S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","EBASTEL 20MG TAB 30S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","627","0","ELTROXIN 50MCG TAB 100S","eltroxin-50mcg-tab-100s","eltroxin-50mcg-tab-100s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","ELTROXIN 50MCG TAB 100S","ELTROXIN 50MCG TAB 100S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","ELTROXIN 50MCG TAB 100S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","638","0","ENO LEMON 150GM","eno-lemon-150gm","eno-lemon-150gm.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","Eno","AL Baker / Ibn Beeter","BestSeller","ENO LEMON 150GM","ENO LEMON 150GM","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","ENO LEMON 150GM","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","716","0","FELDENE 20MG CAP 10S","feldene-20mg-cap-10s","feldene-20mg-cap-10s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","FELDENE 20MG CAP 10S","FELDENE 20MG CAP 10S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","FELDENE 20MG CAP 10S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","3109","0","FLIXONASE 50MCG NASAL SPRAY 60UD","flixonase-50mcg-nasal-spray-60ud","flixonase-50mcg-nasal-spray-60ud.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","FLIXONASE 50MCG NASAL SPRAY 60UD","FLIXONASE 50MCG NASAL SPRAY 60UD","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","FLIXONASE 50MCG NASAL SPRAY 60UD","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","3111","0","FLIXOTIDE EVOHALER 125MCG 120UD","flixotide-evohaler-125mcg-120ud","flixotide-evohaler-125mcg-120ud.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","FLIXOTIDE EVOHALER 125MCG 120UD","FLIXOTIDE EVOHALER 125MCG 120UD","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","FLIXOTIDE EVOHALER 125MCG 120UD","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","5709","0","LAMICTAL 100MG TAB 30S","lamictal-100mg-tab-30s","lamictal-100mg-tab-30s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","LAMICTAL 100MG TAB 30S","LAMICTAL 100MG TAB 30S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","LAMICTAL 100MG TAB 30S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1106","0","LUMIGAN EYE DROPS 3ML","lumigan-eye-drops-3ml","lumigan-eye-drops-3ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","LUMIGAN EYE DROPS 3ML","LUMIGAN EYE DROPS 3ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","LUMIGAN EYE DROPS 3ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1406","0","NUROFEN 100MG/5ML SUSPN 100ML","nurofen-100mg-5ml-suspn-100ml","nurofen-100mg-5ml-suspn-100ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","NUROFEN 100MG/5ML SUSPN 100ML","NUROFEN 100MG/5ML SUSPN 100ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","NUROFEN 100MG/5ML SUSPN 100ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1407","0","NUROFEN COLD FLU TAB 24S","nurofen-cold-flu-tab-24s","nurofen-cold-flu-tab-24s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","NUROFEN COLD FLU TAB 24S","NUROFEN COLD FLU TAB 24S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","NUROFEN COLD FLU TAB 24S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1423","0","OFLOX EYE DROPS 5ML","oflox-eye-drops-5ml","oflox-eye-drops-5ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","OFLOX EYE DROPS 5ML","OFLOX EYE DROPS 5ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","OFLOX EYE DROPS 5ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","14333","0","OPTIVE FUSION EYE DROPS 10ML","optive-fusion-eye-drops-10ml","optive-fusion-eye-drops-10ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","OPTIVE FUSION EYE DROPS 10ML","OPTIVE FUSION EYE DROPS 10ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","OPTIVE FUSION EYE DROPS 10ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1505","0","PANADOL 5-12 YEARS ELIXIR 100ML","panadol-5-12-years-elixir-100ml","panadol-5-12-years-elixir-100ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL 5-12 YEARS ELIXIR 100ML","PANADOL 5-12 YEARS ELIXIR 100ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL 5-12 YEARS ELIXIR 100ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1506","0","PANADOL ACTIFAST 500MG TAB 20S","panadol-actifast-500mg-tab-20s","panadol-actifast-500mg-tab-20s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL ACTIFAST 500MG TAB 20S","PANADOL ACTIFAST 500MG TAB 20S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL ACTIFAST 500MG TAB 20S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1507","0","PANADOL ADVANCE 500MG TAB 24S","panadol-advance-500mg-tab-24s","panadol-advance-500mg-tab-24s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL ADVANCE 500MG TAB 24S","PANADOL ADVANCE 500MG TAB 24S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL ADVANCE 500MG TAB 24S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","12748","0","PANADOL ADVANCE WITH OPTIZORB 500MG TAB 48S","panadol-advance-with-optizorb-500mg-tab-48s","panadol-advance-with-optizorb-500mg-tab-48s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL ADVANCE WITH OPTIZORB 500MG TAB 48S","PANADOL ADVANCE WITH OPTIZORB 500MG TAB 48S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL ADVANCE WITH OPTIZORB 500MG TAB 48S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","14266","0","PANADOL ADVANCE WITH OPTIZORB 500MG TAB 96S","panadol-advance-with-optizorb-500mg-tab-96s","panadol-advance-with-optizorb-500mg-tab-96s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL ADVANCE WITH OPTIZORB 500MG TAB 96S","PANADOL ADVANCE WITH OPTIZORB 500MG TAB 96S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL ADVANCE WITH OPTIZORB 500MG TAB 96S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1508","0","PANADOL BABY INFANT SUSPN 100ML","panadol-baby-infant-suspn-100ml","panadol-baby-infant-suspn-100ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL BABY INFANT SUSPN 100ML","PANADOL BABY INFANT SUSPN 100ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL BABY INFANT SUSPN 100ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1509","0","PANADOL COLD FLU ALL IN 1 TAB 24S","panadol-cold-flu-all-in-1-tab-24s","panadol-cold-flu-all-in-1-tab-24s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL COLD FLU ALL IN 1 TAB 24S","PANADOL COLD FLU ALL IN 1 TAB 24S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL COLD FLU ALL IN 1 TAB 24S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","12724","0","PANADOL COLD FLU VAPOUR RELEASE HOT LEMON AND HONEY SACH 10S","panadol-cold-flu-vapour-release-hot-lemon-and-honey-sach-10s","panadol-cold-flu-vapour-release-hot-lemon-and-honey-sach-10s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL COLD FLU VAPOUR RELEASE HOT LEMON AND HONEY SACH 10S","PANADOL COLD FLU VAPOUR RELEASE HOT LEMON AND HONEY SACH 10S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL COLD FLU VAPOUR RELEASE HOT LEMON AND HONEY SACH 10S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1513","0","PANADOL EXTRA OPTIZORB TAB 24S","panadol-extra-optizorb-tab-24s","panadol-extra-optizorb-tab-24s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL EXTRA OPTIZORB TAB 24S","PANADOL EXTRA OPTIZORB TAB 24S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL EXTRA OPTIZORB TAB 24S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1514","0","PANADOL EXTRA OPTIZORB TAB 48S","panadol-extra-optizorb-tab-48s","panadol-extra-optizorb-tab-48s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL EXTRA OPTIZORB TAB 48S","PANADOL EXTRA OPTIZORB TAB 48S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL EXTRA OPTIZORB TAB 48S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1515","0","PANADOL JOINT 665MG TAB 18S","panadol-joint-665mg-tab-18s","panadol-joint-665mg-tab-18s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PANADOL JOINT 665MG TAB 18S","PANADOL JOINT 665MG TAB 18S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PANADOL JOINT 665MG TAB 18S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","3903","0","PRED FORTE 1% EYE DROPS 5ML","pred-forte-1-eye-drops-5ml","pred-forte-1-eye-drops-5ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","PRED FORTE 1% EYE DROPS 5ML","PRED FORTE 1% EYE DROPS 5ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","PRED FORTE 1% EYE DROPS 5ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1772","0","REFRESH PLUS 0.5% EYE DROPS 0.4ML","refresh-plus-0-5-eye-drops-0-4ml","refresh-plus-0-5-eye-drops-0-4ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","REFRESH PLUS 0.5% EYE DROPS 0.4ML","REFRESH PLUS 0.5% EYE DROPS 0.4ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","REFRESH PLUS 0.5% EYE DROPS 0.4ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","4635","0","REFRESH TEARS EYE DROPS 15ML","refresh-tears-eye-drops-15ml","refresh-tears-eye-drops-15ml.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","REFRESH TEARS EYE DROPS 15ML","REFRESH TEARS EYE DROPS 15ML","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","REFRESH TEARS EYE DROPS 15ML","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","4058","0","SEPTRIN TAB 20S","septrin-tab-20s","septrin-tab-20s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","SEPTRIN TAB 20S","SEPTRIN TAB 20S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","SEPTRIN TAB 20S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","4061","0","SERETIDE MDI 250/25MCG INHALER 120UD","seretide-mdi-250-25mcg-inhaler-120ud","seretide-mdi-250-25mcg-inhaler-120ud.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","General","AL Baker / Ibn Beeter","BestSeller","SERETIDE MDI 250/25MCG INHALER 120UD","SERETIDE MDI 250/25MCG INHALER 120UD","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","SERETIDE MDI 250/25MCG INHALER 120UD","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","1933","0","STREPSILS COOL LOZ 16S","strepsils-cool-loz-16s","strepsils-cool-loz-16s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","Strepsils","AL Baker / Ibn Beeter","BestSeller","STREPSILS COOL LOZ 16S","STREPSILS COOL LOZ 16S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","STREPSILS COOL LOZ 16S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","pdc","Default","simple","8","4126","0","STREPSILS EXTRA BLACK CURRANT LOZ 24S","strepsils-extra-black-currant-loz-24s","strepsils-extra-black-currant-loz-24s.html","Product Info Column","1.0000","1.0000","Enabled","Catalog, Search","Shipping","Strepsils","AL Baker / Ibn Beeter","BestSeller","STREPSILS EXTRA BLACK CURRANT LOZ 24S","STREPSILS EXTRA BLACK CURRANT LOZ 24S","","100000.0000","0.0000","1","0","0","1","1.0000","0","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","STREPSILS EXTRA BLACK CURRANT LOZ 24S","0","simple","","","","","","","","","","","","","","","","","","","","","","","","","",""
